MedInc,HouseAge,AveRooms,AveOccup,Latitude,Longitude,Price
9.771689,2,5,4,34.620502,-116.767052,615254.398742
13.436604,6,10,7,32.801935,-123.5162,812096.289339
9.229272,36,4,7,34.594186,-118.31271,572406.645668
0.594232,52,3,7,35.73238,-122.867465,135432.907221
5.380621,6,7,2,35.910304,-120.888465,376483.136722
1.130031,30,9,2,41.7446,-120.525389,204705.613127
12.526368,40,6,4,39.193432,-124.018844,701108.227565
4.696125,6,4,2,36.111199,-119.739192,363217.292664
2.858484,23,4,5,39.167293,-117.32275,186564.450958
9.707185,35,4,3,36.891472,-121.665548,608398.367962
10.478348,15,6,1,34.675957,-124.162947,619962.704806
4.382243,14,10,6,34.519952,-119.258072,420580.465389
9.821352,10,5,3,34.842961,-118.605635,572341.760852
8.976497,38,7,6,34.583547,-114.025855,564777.479368
1.818186,4,2,3,38.460737,-116.183167,155125.29668
1.421152,25,10,8,37.526586,-114.303677,264635.570223
0.666475,47,2,5,39.801688,-120.928158,63173.762865
2.793287,1,5,3,37.322976,-123.382686,261694.369357
12.704206,33,10,4,33.951973,-116.493637,792648.203012
11.790084,34,1,6,37.141754,-123.325389,620802.276718
14.78716,52,5,4,33.050289,-115.280899,868052.94453
1.741975,32,2,3,33.719719,-119.509535,150079.109349
4.343321,39,7,4,41.324678,-116.569715,350652.81321
10.83776,26,6,8,41.046334,-119.759396,625678.561367
1.428375,2,10,4,38.090181,-124.424496,261202.844655
1.35367,5,1,6,33.173145,-122.000951,144081.27783
3.606434,9,10,8,34.808474,-119.533784,336527.696149
1.867724,43,7,6,36.523997,-119.596241,228793.784946
10.263786,42,2,1,36.324902,-120.937323,602356.553635
4.105517,13,9,8,33.831732,-122.573376,353038.65684
13.180046,5,8,2,32.980589,-114.007534,836105.058508
14.550446,49,4,3,36.360934,-119.445737,837487.339403
13.585422,11,7,1,41.860434,-121.715368,836178.160195
7.097621,28,9,8,33.97057,-121.384568,545751.986497
8.898114,35,1,6,33.04307,-118.366135,489690.738292
12.864438,11,1,2,40.587754,-123.780526,656517.986338
12.996378,26,2,4,37.999731,-124.082713,669017.240549
10.031911,37,9,6,41.379709,-122.355278,662714.730079
3.960946,26,3,5,36.843633,-114.745308,314620.728744
0.635074,40,10,2,33.195977,-122.26188,158273.741475
14.032261,5,4,6,35.20738,-119.899062,801434.846226
4.886499,52,9,1,38.8447,-118.676676,419500.553944
2.002004,9,5,2,40.952271,-116.704625,171144.990977
4.585466,14,6,4,39.031223,-115.544415,344814.20581
4.141258,4,2,7,40.378807,-124.037089,262418.553861
2.396885,17,3,8,37.740964,-120.009287,148311.219961
1.591036,45,3,1,40.428653,-118.38365,107861.178557
2.34796,20,6,1,41.039784,-122.294196,204350.973922
1.990508,50,9,7,41.751452,-116.630485,275101.782257
3.932691,11,3,7,32.73547,-116.766073,260353.096795
13.99683,52,4,5,34.01238,-117.136579,760095.67226
1.061507,31,4,4,40.257573,-119.666816,116094.436734
12.03251,15,4,1,38.770315,-120.316107,669985.806102
1.506601,50,5,6,38.594077,-120.303377,208445.01872
8.275128,2,2,5,34.196394,-114.39339,463303.036252
2.071837,28,6,6,36.645742,-114.165524,173156.428403
13.542819,13,5,1,39.23346,-124.482242,823198.46655
8.307554,47,4,6,36.597325,-114.536818,531954.785622
9.535753,43,2,5,37.317664,-117.497625,511905.940486
10.609522,36,3,4,36.49424,-114.626181,616207.894527
13.59068,40,10,5,36.357714,-115.745886,809921.494927
3.547649,51,10,6,36.917388,-119.857322,293252.590099
7.3612,51,3,2,35.195971,-117.529535,440486.080536
1.854114,49,4,5,34.634086,-122.409136,118648.238773
4.050217,31,10,2,36.826454,-115.195562,364577.939941
10.916016,25,8,7,34.817852,-117.611391,629855.281814
11.388985,50,2,7,34.578991,-116.056847,638040.427641
7.235973,36,4,2,36.836387,-116.085126,458556.423259
14.824441,39,6,8,38.320197,-116.947623,844199.866482
12.543253,36,8,3,39.564727,-119.515918,731081.804847
4.084976,41,5,8,38.45411,-121.616727,251497.135386
4.643058,18,6,6,40.983755,-123.653935,310235.965801
6.054012,10,4,2,36.441245,-121.025745,392293.030335
1.402853,27,7,1,40.638954,-116.461257,178680.752893
0.585493,23,5,7,40.607756,-114.488981,119676.778263
11.338977,35,10,4,37.13818,-121.634179,718013.04938
6.138429,43,7,3,40.484804,-114.844813,467493.647752
8.244793,26,10,1,33.297501,-119.999566,605924.78556
3.135071,17,7,6,34.510773,-121.068119,308376.520789
5.99733,49,7,5,40.431654,-119.561778,434268.926108
1.255241,23,4,2,39.921714,-117.656576,174685.370406
14.26937,13,1,3,34.766177,-119.527609,730407.444611
14.242477,30,5,6,34.093997,-118.123901,831916.415196
2.160727,11,5,2,37.997505,-114.746685,220116.022841
13.666379,25,7,4,33.221967,-117.248549,817543.18956
1.977569,50,5,2,40.064159,-118.557708,137985.363021
8.224806,43,6,2,37.306628,-120.917073,546697.8627
12.423798,7,7,6,38.538059,-115.798573,772420.764371
6.814564,47,9,5,38.351167,-114.844015,502692.345037
7.24067,47,10,5,35.561894,-121.922301,551995.687861
4.54446,29,4,8,37.913572,-117.484021,294362.661989
7.667444,21,3,8,34.515139,-116.12276,442906.084316
13.26464,45,5,1,37.407959,-122.493908,724867.605037
6.393208,36,4,8,38.636078,-119.346376,428953.686813
1.849274,15,7,4,35.408957,-118.393666,216289.748876
8.198368,28,9,6,35.8422,-119.735675,534580.699135
3.842802,47,4,6,33.63577,-118.873428,292859.060948
3.184673,14,8,5,39.383558,-114.245626,300697.336911
4.603481,7,4,5,34.66109,-122.615864,276088.886726
8.244959,18,1,1,37.75691,-117.177117,427875.899296
13.092687,32,2,1,37.95361,-119.571332,706681.229814
3.173273,4,5,8,33.583828,-123.813894,265838.306029
8.866807,44,1,3,33.917377,-118.590184,463723.901184
14.911813,8,9,7,38.260018,-116.197221,872159.363707
8.077302,29,8,5,40.671583,-114.104672,515903.124432
9.504896,40,2,4,38.442393,-121.721216,487363.546547
3.978045,36,2,3,32.525419,-119.769711,264283.369512
4.72326,15,5,5,39.178382,-119.732671,357401.492007
13.89671,51,10,4,36.53882,-118.782095,854098.97234
13.671966,10,2,1,34.076266,-121.270076,777494.072207
8.753502,19,8,2,36.952631,-121.307042,564425.951916
4.44757,35,8,8,33.264198,-124.081462,344081.366416
5.173663,17,1,2,34.674782,-117.419867,348234.837282
9.013283,2,5,1,39.749536,-122.660497,561560.534099
6.912326,18,3,7,38.530455,-119.336879,381740.540629
5.545435,22,6,2,40.648464,-121.037062,407639.117398
4.679158,26,9,1,36.820846,-121.19757,361285.278628
14.567679,26,9,1,38.747774,-118.802767,864708.70708
3.219947,24,10,8,38.441383,-116.520099,289353.173835
8.463685,19,8,8,33.653548,-114.281958,570571.416708
3.969813,11,5,1,37.746388,-123.521303,352216.36394
13.737483,30,2,3,37.234567,-116.975665,746761.351507
4.464661,31,8,4,36.839471,-122.981259,322794.087095
9.190975,48,3,2,35.12435,-116.204935,513042.992355
14.046602,33,5,1,35.18697,-121.365164,804523.872241
14.984084,32,3,8,37.616515,-120.876199,824395.941707
8.379736,30,6,4,41.817359,-121.992542,514283.884893
12.912188,27,1,6,39.574699,-117.095107,725250.290256
6.098142,43,3,8,41.665832,-123.174414,415942.459018
5.313923,7,8,2,37.496535,-119.702255,430440.532757
6.44469,42,3,2,36.960161,-114.323362,371090.623405
10.544217,42,2,6,40.597243,-115.476907,568211.789752
5.091587,46,8,1,38.365865,-122.034912,396019.307441
4.666996,15,2,7,41.794208,-116.516118,320238.882933
1.957355,11,5,1,32.936914,-116.140494,181704.527597
5.935196,10,4,7,37.876317,-116.178546,356758.164907
1.645041,25,10,4,37.227839,-118.37685,212970.89443
9.749617,30,5,1,41.039631,-119.614841,561244.016575
8.425673,5,8,6,41.882691,-121.35888,610986.557282
10.509546,30,5,4,41.994049,-115.539978,581142.626742
6.029782,23,10,5,41.930574,-121.400077,507783.548458
10.044332,18,1,1,41.150861,-116.675692,588500.489967
13.592556,50,4,6,34.580543,-122.503614,727690.480004
11.455871,50,3,2,41.082335,-117.713424,614686.838395
6.891936,38,6,3,33.356267,-121.40134,472344.886494
3.046781,9,9,6,37.543098,-114.908387,338886.311957
4.226066,31,5,6,40.140209,-119.58252,263333.236091
11.435197,15,7,6,33.357877,-120.356967,674705.707835
2.292037,24,5,7,40.312964,-114.626935,173436.46022
3.890418,2,10,6,41.194931,-122.175644,319842.604116
12.445903,45,5,7,33.608421,-124.023858,663516.362822
14.940947,8,2,4,40.928963,-123.075527,812411.725689
10.22205,48,9,7,38.079733,-116.870709,683643.87839
9.996368,32,10,7,41.421004,-121.562729,672846.466375
3.65041,29,4,6,33.443869,-117.300357,270467.086148
14.678717,23,1,7,35.120874,-114.333828,829336.928826
12.450771,6,4,1,32.980496,-120.998154,766420.640394
